V3IB73/maxbin 212
V3IB73/dastool/bins_DASTool_bins 0
VQRCOI/metabat 0
VQRCOI/vamb/bins 213
VQRCOI/maxbin 187
VQRCOI/dastool/bins_DASTool_bins 0
VHY7T8/metabat 144
VHY7T8/vamb/bins 132
VHY7T8/maxbin 151
VHY7T8/dastool/bins_DASTool_bins 0
V1Y210/metabat 157
V1Y210/vamb/bins 282
V1Y210/maxbin 159
V1Y210/dastool/bins_DASTool_bins 0
VCYQP6/metabat 0
VCYQP6/vamb/bins 175
VCYQP6/maxbin 99
VCYQP6/dastool/bins_DASTool_bins 0
VIZEMD/metabat 0
VIZEMD/vamb/bins 367
VIZEMD/maxbin 164
VIZEMD/dastool/bins_DASTool_bins 0
V99AA5/metabat 0
V99AA5/vamb/bins 184
V99AA5/maxbin 65
V99AA5/dastool/bins_DASTool_bins 0
VUCGX0/metabat 0
VUCGX0/vamb/bins 249
VUCGX0/maxbin 103
VUCGX0/dastool/bins_DASTool_bins 0
VMY8WP/metabat 0
VMY8WP/vamb/bins 252
VMY8WP/maxbin 102
VMY8WP/dastool/bins_DASTool_bins 0
VII3PN/metabat 108
VII3PN/vamb/bins 185
VII3PN/maxbin 110
VII3PN/dastool/bins_DASTool_bins 0
V5HE1I/metabat 0
V5HE1I/vamb/bins 308
V5HE1I/maxbin 200
V5HE1I/dastool/bins_DASTool_bins 0
VO4UIJ/metabat 80
VO4UIJ/vamb/bins 113
VO4UIJ/maxbin 93
VO4UIJ/dastool/bins_DASTool_bins 0
VP0LAZ/metabat 221
VP0LAZ/vamb/bins 368
VP0LAZ/maxbin 240
VP0LAZ/dastool/bins_DASTool_bins 0
VAR95B/metabat 44
VAR95B/vamb/bins 56
VAR95B/maxbin 61
VAR95B/dastool/bins_DASTool_bins 0
VV3BC7/metabat 98
VV3BC7/vamb/bins 207
VV3BC7/maxbin 103
VV3BC7/dastool/bins_DASTool_bins 0
VXCM76/metabat 138
VXCM76/vamb/bins 165
VXCM76/maxbin 166
VXCM76/dastool/bins_DASTool_bins 0
VEW4DS/metabat 0
VEW4DS/vamb/bins 183
VEW4DS/maxbin 189
VEW4DS/dastool/bins_DASTool_bins 0
VTTYB4/metabat 0
VTTYB4/vamb/bins 137
VTTYB4/maxbin 93
VTTYB4/dastool/bins_DASTool_bins 0
VE6LJ7/metabat 69
VE6LJ7/vamb/bins 117
VE6LJ7/maxbin 97
VE6LJ7/dastool/bins_DASTool_bins 0
VFJRMI/metabat 145
VFJRMI/vamb/bins 240
VFJRMI/maxbin 178
VFJRMI/dastool/bins_DASTool_bins 0
V2KKNM/metabat 135
V2KKNM/vamb/bins 107
V2KKNM/maxbin 145
V2KKNM/dastool/bins_DASTool_bins 0
V6LGKV/metabat 0
V6LGKV/vamb/bins 225
V6LGKV/maxbin 0
V6LGKV/dastool/bins_DASTool_bins 0
VYYIUL/metabat 0
VYYIUL/vamb/bins 226
VYYIUL/maxbin 119
VYYIUL/dastool/bins_DASTool_bins 0
VB6RZH/metabat 0
VB6RZH/vamb/bins 127
VB6RZH/maxbin 89
VB6RZH/dastool/bins_DASTool_bins 0
VSULLW/metabat 191
VSULLW/vamb/bins 309
VSULLW/maxbin 251
VSULLW/dastool/bins_DASTool_bins 0
V06KFU/metabat 0
V06KFU/vamb/bins 161
V06KFU/maxbin 92
V06KFU/dastool/bins_DASTool_bins 0
VSC0UI/metabat 0
VSC0UI/vamb/bins 184
VSC0UI/maxbin 72
VSC0UI/dastool/bins_DASTool_bins 0
V2EKJ0/metabat 131
V2EKJ0/vamb/bins 122
V2EKJ0/maxbin 145
V2EKJ0/dastool/bins_DASTool_bins 0
V2ZRYJ/metabat 0
V2ZRYJ/vamb/bins 225
V2ZRYJ/maxbin 136
V2ZRYJ/dastool/bins_DASTool_bins 0
V5TGN9/metabat 0
V5TGN9/vamb/bins 140
V5TGN9/maxbin 75
V5TGN9/dastool/bins_DASTool_bins 0
VCTJFG/metabat 89
VCTJFG/vamb/bins 149
VCTJFG/maxbin 91
VCTJFG/dastool/bins_DASTool_bins 0
VI8ISR/metabat 0
VI8ISR/vamb/bins 85
VI8ISR/maxbin 40
VI8ISR/dastool/bins_DASTool_bins 0
